latitude,longitude
34.807,68.891
35.438,69.552
35.869,70.224
35.458,70.023
35.409,69.959
35.184,69.625
38.007,70.738
37.903,70.969
37.773,70.835
38.272,70.738
38.283,71.167
38.142,70.936
38.102,71.241
-36.615,-70.437
-36.331,-70.503
-41.185,-71.603
-41.207,-71.867
-42.35,-71.742
46.975,12.362
47.093,12.408
47.148,12.438
46.96,13.342
47.007,10.803
46.828,10.963
46.803,10.847
46.93,10.8
47.012,10.815
47.068,13.24
47.085,12.905
47.195,12.762
47.165,12.753
47.147,12.592
47.16,12.297
47.135,12.318
47.022,10.463
47.053,10.282
47.122,12.11
47.092,12.027
47.065,12.035
47.04,11.923
47.013,11.76
47.005,11.772
-14.917,-69.113
-14.825,-69.022
-14.868,-69.089
-14.838,-69.133
-15.835,-68.568
-15.882,-68.563
-15.863,-68.426
-16.93,-67.316
-15.87,-68.545
28.091,89.556
27.961,89.941
27.965,90.097
27.898,90.222
27.943,90.421
27.903,90.573
28.028,90.573
27.925,90.735
28.007,90.82
28.064,91.224
49.588,-125.394
49.49,-125.858
49.81,-125.719
58.219,-128.265
58.378,-128.014
58.252,-127.905
57.183,-127.746
57.18,-128.118
57.234,-128.233
57.257,-128.337
57.544,-128.141
57.462,-128.475
57.542,-128.462
57.276,-128.518
57.344,-128.624
57.369,-128.613
57.349,-128.611
57.135,-128.432
57.351,-128.792
57.44,-128.922
57.475,-128.803
57.509,-128.843
57.535,-128.653
57.694,-128.703
58.324,-129.68
58.312,-129.753
58.163,-129.665
58.261,-129.781
58.217,-129.962
58.228,-129.443
57.67,-129.02
57.708,-129.2
57.896,-129.857
57.798,-130.294
58.019,-130.571
57.725,-129.312
57.68,-129.443
57.672,-129.277
57.59,-128.987
57.582,-129.321
57.518,-129.204
57.498,-129.022
57.483,-129.013
57.487,-128.948
57.443,-128.937
57.436,-129.082
57.415,-129.145
57.455,-129.165
57.468,-129.232
57.393,-129.023
57.374,-128.987
57.338,-128.909
57.179,-128.982
57.354,-129.14
57.346,-129.171
57.432,-129.303
57.316,-129.181
57.298,-129.251
57.329,-129.327
57.266,-129.375
57.273,-129.353
57.293,-129.194
57.258,-129.163
57.132,-129.205
57.077,-129.246
57.099,-129.413
57.143,-129.413
57.154,-129.359
57.187,-129.356
57.205,-129.434
57.229,-129.507
57.282,-129.637
57.315,-129.641
57.355,-129.778
57.411,-129.654
57.426,-129.553
57.44,-129.561
57.579,-129.552
57.855,-129.811
57.646,-131.837
57.526,-131.963
57.616,-131.999
57.559,-132.207
57.444,-132.194
57.463,-132.289
57.486,-132.341
57.55,-132.4
57.637,-132.382
57.727,-132.51
57.806,-132.563
57.729,-132.256
57.782,-132.067
57.771,-131.863
57.789,-131.9
57.823,-131.913
57.827,-132.27
57.913,-132.038
57.877,-131.408
57.928,-131.879
57.51,-130.699
57.469,-130.699
57.288,-130.835
57.243,-130.861
57.224,-130.85
57.21,-130.869
57.181,-130.878
57.147,-130.897
57.132,-130.964
57.401,-130.982
57.262,-131.102
57.371,-131.213
57.455,-131.103
57.732,-131.282
57.631,-131.229
57.56,-131.176
57.436,-131.344
57.547,-131.336
56.752,-131.865
56.794,-131.898
56.792,-131.855
56.814,-131.873
56.843,-131.898
56.817,-131.89
56.857,-131.895
56.877,-131.875
56.889,-131.833
56.922,-131.868
56.936,-131.863
56.94,-131.88
56.982,-131.896
57.005,-131.891
57.029,-131.992
57.06,-131.925
57.069,-131.946
57.084,-131.929
57.073,-131.826
57.136,-131.763
57.122,-131.773
57.123,-131.781
57.1,-131.818
57.103,-131.835
57.106,-131.913
57.16,-131.917
57.146,-131.949
57.16,-132.027
57.213,-131.966
57.222,-131.927
57.276,-131.904
57.355,-132.114
57.38,-132.111
57.36,-131.914
57.377,-131.956
57.493,-131.917
57.506,-131.916
57.513,-131.895
57.572,-131.794
57.599,-131.896
57.613,-131.846
57.652,-131.723
57.519,-131.511
57.439,-131.551
57.485,-131.689
57.368,-131.586
57.286,-131.419
57.357,-131.171
57.266,-131.17
57.314,-131.23
57.115,-131.322
57.121,-131.505
57.222,-131.723
57.081,-131.529
56.981,-131.401
56.629,-131.611
56.61,-131.568
56.541,-131.71
56.511,-131.715
56.518,-131.678
56.453,-131.654
56.42,-131.607
56.433,-131.678
56.418,-131.688
56.422,-131.691
56.452,-131.77
56.498,-131.799
56.531,-131.827
56.778,-131.062
56.786,-131.036
56.757,-130.932
56.848,-130.815
56.766,-130.713
56.887,-130.991
56.859,-130.591
56.867,-130.568
56.923,-130.534
56.95,-130.565
57.002,-130.636
56.994,-130.891
57.059,-131.013
57.053,-130.85
57.069,-130.867
57.167,-130.839
57.146,-130.773
57.179,-130.829
57.29,-130.788
57.142,-130.561
57.212,-130.392
57.24,-130.382
57.21,-130.601
57.279,-130.695
57.375,-130.646
57.265,-130.459
57.357,-130.429
57.349,-130.426
57.287,-130.327
57.333,-130.392
57.334,-130.408
57.367,-130.373
57.397,-130.629
57.441,-130.578
57.44,-130.641
57.769,-130.118
57.789,-129.873
57.67,-129.878
57.663,-129.957
57.656,-129.896
57.522,-129.718
57.449,-129.705
57.488,-129.857
57.506,-129.848
57.574,-129.849
57.565,-129.918
57.575,-129.946
57.516,-129.903
57.513,-129.928
57.478,-129.879
57.462,-129.83
57.45,-129.925
57.429,-129.906
57.44,-129.829
57.434,-129.781
57.409,-129.79
57.363,-129.848
57.362,-129.904
57.343,-130.018
57.334,-130.033
57.288,-129.876
57.293,-129.793
57.185,-129.882
57.177,-129.686
57.106,-129.839
57.082,-130.003
57.104,-129.929
57.109,-129.999
57.232,-130.072
57.144,-130.059
57.127,-130.041
57.125,-130.059
57.124,-130.111
57.044,-130.076
56.966,-130.028
56.991,-130.078
56.936,-129.925
56.921,-129.964
56.878,-129.965
56.878,-129.907
56.803,-130.018
56.81,-130.087
56.786,-130.116
56.75,-130.218
56.848,-130.27
56.855,-130.292
56.793,-130.387
56.741,-130.452
56.764,-130.459
56.744,-130.48
56.651,-130.613
56.674,-130.635
56.607,-130.681
56.613,-130.745
56.639,-130.795
56.594,-130.87
56.5,-131.047
56.512,-131.111
56.6,-131.267
56.666,-131.364
56.668,-131.456
56.561,-131.411
56.556,-131.47
59.576,-136.673
59.597,-136.658
59.58,-136.307
59.585,-136.395
59.71,-136.658
59.853,-136.385
59.764,-136.074
59.665,-135.948
59.795,-135.643
59.169,-137.395
59.13,-137.439
59.103,-137.528
59.179,-137.04
59.138,-137.052
61.51,-138.008
60.451,-136.554
60.403,-137.107
60.508,-137.407
60.366,-137.473
60.511,-137.53
60.41,-137.558
60.581,-137.433
60.704,-137.651
59.916,-137.951
59.954,-138.205
60.144,-138.115
60.234,-138.291
60.511,-137.943
60.471,-137.958
60.504,-138.249
60.533,-138.175
60.566,-138.377
60.625,-138.306
60.641,-138.413
60.607,-138.865
60.873,-138.278
61.02,-137.529
60.688,-137.811
60.346,-137.756
60.329,-137.742
60.14,-137.294
60.142,-137.503
60.137,-137.512
60.176,-137.578
59.871,-137.699
59.862,-137.732
59.708,-137.87
59.415,-137.89
59.504,-137.624
59.528,-137.587
59.687,-137.769
59.585,-137.41
59.652,-137.275
59.747,-137.381
60.215,-136.909
60.011,-136.74
59.93,-136.58
59.865,-136.489
59.834,-136.795
59.847,-136.993
59.841,-137.166
59.544,-137.007
59.392,-137.074
59.504,-137.13
59.365,-137.303
59.286,-137.213
59.205,-137.352
61.672,-138.072
61.661,-138.32
61.589,-138.187
61.449,-138.106
61.553,-138.559
61.268,-137.973
60.886,-138.337
60.916,-138.536
60.889,-138.911
60.935,-138.939
61.046,-138.989
61.068,-139.029
61.049,-139.068
61.499,-139.576
61.523,-139.613
61.137,-139.255
61.013,-139.069
61.007,-139.145
61.009,-139.291
60.989,-139.222
60.864,-139.242
60.873,-139.278
60.898,-139.614
60.938,-139.514
61.006,-139.561
61.094,-139.605
61.185,-139.637
61.127,-139.76
61.095,-139.947
61.336,-140.019
61.381,-140.034
61.416,-140.02
61.432,-139.997
61.432,-140.014
61.632,-140.076
61.652,-140.117
61.569,-140.064
61.452,-140.229
61.263,-140.607
61.362,-140.719
61.38,-140.893
61.422,-140.916
61.493,-140.784
61.577,-141.045
61.993,-140.809
60.559,-135.759
60.578,-135.788
60.391,-135.55
60.331,-136.04
60.242,-135.997
60.042,-135.6
60.027,-135.598
59.973,-135.557
59.981,-135.548
59.859,-135.51
59.953,-135.68
60.002,-135.696
59.988,-135.702
59.915,-135.692
60.019,-136.028
60.025,-136.037
60.044,-136.104
60.003,-136.06
59.975,-136.191
59.862,-136.266
59.918,-136.357
60.099,-136.338
60.035,-136.447
60.163,-136.605
60.597,-136.468
60.996,-136.279
77.322,-82.148
77.078,-81.185
77.185,-79.35
77.233,-79.655
76.942,-80.478
77.137,-80.302
77.147,-80.92
76.605,-78.727
76.617,-78.728
76.502,-78.535
76.233,-80.59
76.283,-80.173
76.378,-79.382
76.42,-79.39
77.638,-82.198
78.745,-75.552
78.483,-76.183
78.315,-75.693
77.948,-77.112
77.947,-77.022
77.408,-78.898
46.392,9.845
46.509,9.747
46.699,10.003
46.332,9.719
46.128,8.031
46.469,8.535
46.319,7.206
46.35,7.405
46.434,7.92
46.474,8.109
46.411,8.266
46.261,8.001
46.106,7.836
46.167,7.509
45.914,7.421
45.899,7.234
45.979,7.042
46.598,8.613
46.656,8.414
46.787,8.579
46.698,8.424
46.713,8.39
46.64,8.359
46.574,8.087
-34.465,-70.123
-34.45,-70.207
-34.891,-70.406
-34.669,-70.391
-34.803,-70.339
-34.873,-70.376
-34.886,-70.402
-34.071,-69.868
-34.008,-69.92
-34.215,-70.054
-33.913,-70.354
-33.922,-70.263
-33.837,-69.934
-33.954,-69.897
-33.932,-69.967
-33.883,-70.095
-33.314,-69.865
-33.386,-69.869
-33.408,-69.872
-33.422,-69.891
-33.417,-69.848
-33.458,-69.958
-33.18,-70.236
-33.107,-70.111
-33.118,-70.078
-33.18,-70.058
-33.126,-70.318
-33.138,-70.292
-33.215,-70.296
-33.237,-70.303
-30.15,-70
-29.667,-70.017
-26.517,-68.417
-22.433,-67.883
49.1,87.2
49.08,87.3
49.03,87.28
49.03,87.3
49.08,87.37
49.08,87.63
49.07,87.72
49.07,87.77
49.07,87.82
48.93,87.75
49,87.53
48.98,87.55
48.98,87.43
48.88,87.43
48.92,87.65
48.35,88.53
47.73,89.48
47.73,89.47
47.83,89.75
47.85,90.02
33.295,101.1
34.699,99.523
34.724,99.571
27.098,100.19
32.712,96.904
33.564,95.066
33.773,95.033
33.721,94.996
33.787,94.814
33.731,94.868
32.589,93.693
32.685,93.206
32.757,92.631
32.848,92.407
32.828,92.366
32.956,92.236
33.232,92.072
33.466,91.565
33.459,91.23
33.583,91.209
34.012,90.775
34.072,90.711
35.626,94.456
35.615,94.543
31.85,99.035
30.602,99.531
30.679,99.421
30.002,99.57
29.953,99.649
28.41,100.362
29.991,99.61
31.654,99.642
32,98.923
29.223,101.254
29.478,101.784
29.642,101.82
31.15,102.753
31.266,102.867
31.462,102.893
31.891,103.011
28.521,98.656
28.544,98.659
30.587,97.382
31.76,95.588
31.908,95.481
32.04,95.056
32.129,95.054
32.431,94.215
32.465,94.169
33.576,94.821
33.496,94.772
33.581,95
33.523,95.059
33.528,95.069
33.124,95.425
28.743,98.037
28.623,98.269
29.029,97.705
29.119,97.617
29.261,97.736
29.568,97.106
29.635,97.168
29.66,97.283
29.736,97.252
29.728,97.205
29.747,97.187
29.735,97.188
29.71,97.193
29.741,97.064
29.845,96.928
29.927,97.041
29.929,97.022
29.937,97.022
29.952,96.946
29.897,96.925
29.835,96.917
29.82,96.933
29.807,96.892
29.768,96.874
29.719,96.592
30.28,95.94
30.704,95.102
30.655,94.835
30.679,94.611
30.801,94.745
30.818,94.561
31.094,94.42
31.013,94.448
30.994,94.323
30.969,93.918
30.993,93.921
31.008,93.914
31.036,93.865
30.955,93.714
31.148,93.367
31.252,93.628
31.327,93.518
31.306,93.524
31.319,93.448
31.363,93.212
31.38,93.267
31.363,93.182
31.733,93.392
31.762,93.513
31.817,93.478
32.276,93.082
32.632,92.663
32.697,92.583
32.583,93.029
32.516,92.997
32.537,93.323
32.447,94.012
32.366,94.162
31.945,94.82
31.876,95.163
31.962,95.171
31.765,95.52
31.442,95.282
30.384,96.91
30.567,97.385
29.186,98.482
28.539,98.607
30.275,81.003
30.277,80.847
30.473,81.355
30.35,81.383
30.305,81.346
28.633,84.797
28.647,84.734
28.767,84.474
28.808,84.705
28.802,84.883
28.637,85.188
28.72,85.417
28.494,85.412
28.508,85.405
28.472,85.547
28.367,85.498
28.337,85.553
28.101,85.973
28.427,85.83
28.178,86.057
28.085,86.071
28.174,86.076
28.245,86.138
28.217,86.163
28.01,86.467
27.966,86.433
27.935,86.397
27.992,86.35
27.945,87.087
27.986,87.001
28.18,87.06
28.165,87.033
28.167,86.959
28.189,86.903
28.233,86.858
28.186,86.859
28.129,86.914
28.069,86.894
28.067,86.837
28.129,86.805
28.116,86.633
28.386,86.49
28.398,86.473
28.38,86.426
28.428,85.745
29,86.123
28.85,87.478
27.923,88.078
28.025,87.885
28.13,87.427
28.111,87.422
28.116,87.433
27.92,87.815
27.908,87.773
27.861,87.588
28.053,90.833
28.135,90.888
28.087,90.833
28.058,90.662
28.148,90.549
28.175,90.508
28.267,90.708
28.296,90.715
28.23,90.483
28.123,90.409
28.125,90.357
28.205,90.408
28.338,91.15
28.224,91.442
28.095,91.426
28.035,91.682
28.02,91.529
28.129,91.538
28.137,91.549
28.158,91.53
27.779,91.838
27.953,92.088
27.956,92.118
27.969,92.163
28.259,92.946
28.138,92.587
28.017,92.556
28.05,92.575
28.058,92.65
27.917,92.583
27.933,92.847
27.859,92.454
28.358,91.879
28.458,92.735
28.646,93.263
29.287,94.745
29.358,94.838
29.57,95.189
29.657,95.169
29.597,95.006
29.53,94.986
29.436,94.942
29.367,94.902
29.023,94.027
29.038,94.04
29.079,94.043
28.708,93.689
28.793,93.548
28.842,93.259
28.843,93.266
28.889,93.302
28.894,93.251
28.746,93.117
28.394,91.058
28.45,90.662
28.85,90.234
28.946,90.37
28.984,90.256
29.022,90.28
28.959,90.153
28.396,90.037
28.194,89.735
28.167,89.591
28.787,88.277
28.794,87.63
29.054,87.259
29.109,86.528
29.068,86.131
29.057,86.13
28.979,85.037
28.919,84.956
28.956,84.437
28.947,84.416
28.912,84.233
29.402,83.814
29.276,83.495
29.286,83.463
29.704,83.07
29.958,82.503
30.152,82.243
30.248,82.161
30.764,82.432
30.772,82.65
30.75,82.847
30.833,83
30.683,83.292
30.587,83.373
30.52,83.425
30.472,83.566
30.524,84.084
30.363,83.958
30.354,83.947
30.47,83.771
30.402,83.824
30.388,83.841
30.331,83.809
30.346,83.938
30.311,83.914
30.284,83.915
29.878,84.54
29.802,84.573
29.836,84.65
29.997,84.862
29.995,84.932
29.98,84.998
29.968,85.004
29.982,84.997
30.014,84.971
29.706,85.951
29.684,85.937
29.691,86.409
29.689,86.5
29.674,86.814
29.66,86.852
29.622,86.856
29.669,86.87
29.706,87.454
29.824,87.529
29.769,87.514
29.711,87.229
30.082,89.391
30.092,89.629
30.139,89.663
29.883,89.931
29.503,89.852
29.822,90.126
29.591,90.488
29.877,90.244
29.978,90.135
30.113,90.291
30.129,90.261
30.245,90.289
30.233,90.438
30.277,90.507
30.316,90.491
30.343,90.619
30.402,90.663
30.415,90.652
30.53,90.952
30.824,91.482
30.776,91.785
30.512,91.864
30.237,92.619
30.23,92.606
30.288,92.28
30.329,91.991
30.335,91.986
29.461,92.636
29.456,92.633
29.39,92.835
29.481,93.053
29.426,93.659
29.588,93.606
29.732,93.463
29.728,93.447
29.685,93.497
29.636,93.358
29.588,93.086
29.761,92.959
29.767,92.987
29.721,92.9
29.739,92.883
29.745,92.612
29.892,92.261
30.363,93.136
30.223,93.267
30.349,93.32
30.154,93.568
30.223,93.554
30.221,93.678
30.197,93.773
30.296,93.949
30.287,93.979
29.927,94.964
29.904,94.916
29.857,94.891
29.774,94.808
30.185,94.491
30.071,94.842
30.095,94.861
30.173,94.836
30.154,94.829
30.212,94.606
30.255,94.535
30.267,94.371
30.44,94.013
30.42,93.836
30.43,93.822
30.514,93.732
30.5,93.813
30.547,93.65
30.52,93.027
30.978,93.491
30.867,93.557
30.764,93.62
30.587,93.936
30.552,94.078
30.622,93.933
30.833,93.711
30.841,93.715
30.864,93.691
30.862,93.684
30.838,93.923
30.742,93.966
30.774,94.056
30.801,94.38
30.693,94.528
30.492,94.335
30.564,94.34
30.548,94.337
30.536,94.355
30.377,94.544
30.428,94.579
30.343,94.69
30.43,94.826
30.493,94.781
30.565,94.766
30.466,95.065
30.457,95.14
30.358,95.074
30.359,95.022
30.129,95.24
30.017,95.38
30.024,95.4
30.48,95.176
30.309,95.304
30.518,95.513
30.364,95.516
30.286,95.471
30.283,95.622
30.26,95.628
30.227,95.604
30.306,95.647
30.324,95.705
29.931,95.759
29.847,95.856
29.897,95.941
29.855,96.03
29.887,96.01
29.94,96.048
30.14,95.842
30.235,96.028
30.107,96.188
29.958,96.211
29.832,96.244
29.897,96.349
29.836,96.357
29.814,96.367
29.793,96.433
29.643,96.567
29.566,96.649
29.541,96.73
29.609,96.826
29.595,96.865
29.602,96.956
29.624,96.963
29.698,97.015
29.581,97.081
29.575,97.061
29.547,97.011
29.517,96.954
29.266,96.904
29.479,96.598
29.43,96.473
29.412,96.428
29.49,96.326
29.536,96.335
29.572,96.281
29.629,96.205
29.698,96.071
29.686,95.969
29.685,95.899
29.667,95.796
29.798,95.213
30.501,95.155
29.6,95.69
29.567,95.966
29.401,95.971
29.366,95.936
29.393,95.891
28.978,96.503
29.307,96.197
29.241,96.05
29.467,96.092
29.472,96.128
29.519,96.144
29.28,96.403
29.301,96.573
29.192,96.556
28.848,96.802
28.878,97.124
28.888,97.284
28.738,97.291
28.976,97.256
29.367,97.009
29.464,96.982
29.421,97.132
29.448,97.176
29.346,97.176
29.39,97.197
29.194,97.298
29.195,97.373
29.387,97.295
29.473,97.355
35.196,78.066
35.113,78.294
35.131,78.24
35.058,78.189
35.125,78.366
35.083,78.508
34.787,78.255
34.898,78.283
34.824,78.462
34.88,78.582
34.751,78.647
34.652,78.432
34.654,78.426
34.431,79.061
34.187,78.936
33.178,79.394
31.158,81.533
31.109,81.515
31.191,81.283
31.146,81.25
31.301,81.153
31.644,80.776
31.752,80.713
31.737,80.686
31.945,80.438
31.867,80.504
31.858,80.493
31.833,80.448
31.858,80.504
31.773,80.572
31.731,80.589
31.639,80.662
31.365,80.92
31.478,80.282
31.587,80.13
31.683,80.129
31.711,79.972
32.046,79.885
32.447,79.601
32.411,79.536
32.565,79.435
32.526,79.413
32.53,79.38
32.598,79.359
32.211,78.435
32.365,78.494
32.42,78.543
32.419,78.51
32.41,78.835
31.881,78.736
32.043,78.892
32.207,79.011
32.25,79.015
32.449,79.148
32.466,79.209
32.51,79.319
32.369,79.425
32.183,79.756
32.123,79.791
31.244,80.836
31.193,81.139
30.511,81.329
31.118,81.257
31.06,81.44
31.093,81.521
31.058,81.51
31.079,81.551
31.023,81.564
31.501,80.525
30.582,80.385
31.097,79.506
31.092,79.493
31.154,79.441
31.33,78.812
31.456,78.819
44.8,80.25
44.63,80.6
44.55,80.47
44.52,80.55
44.53,80.62
44.02,82.88
43.98,83.22
43.95,83.25
43.95,83.37
43.85,83.77
43.83,83.93
43.55,84.53
43.48,84.87
43.48,84.77
43.45,84.78
43.47,84.72
43.48,84.67
43.5,84.67
43.5,84.55
43.53,84.3
43.48,84.23
43.48,84.17
43.4,84.65
43.43,84.75
43.43,84.78
43.43,84.8
43.37,84.88
43.38,84.9
43.38,84.98
43.12,83.85
43.12,83.78
42.97,82.82
42.88,82.47
42.87,82.4
42.85,82.37
42.85,82.35
42.73,82.17
42.78,82.52
42.8,82.5
42.87,82.55
42.87,82.67
42.73,83.1
42.7,82.97
42.67,82.9
42.68,82.63
42.55,82.6
42.48,82.35
43.52,82.32
42.47,82.27
42.42,82.02
42.4,81.98
42.68,81.73
42.68,81.7
42.65,81.32
42.6,81.17
42.63,81.32
42.43,81.63
42.48,81.65
42.52,81.68
42.5,81.6
42.5,81.57
42.52,81.43
42.35,81.18
42.35,81.07
42.45,81.15
42.52,81.12
42.55,80.9
42.55,80.85
42.5,80.52
42.43,80.48
42.48,80.47
42.47,80.45
42.35,80.42
42.33,80.33
42.32,80.28
37.55,102.13
37.58,102
37.58,102.15
37.57,102.12
37.62,102.07
37.62,101.63
38.28,100.5
38.28,100.48
38.3,100.28
38.43,99.37
38.58,99.05
39,98.92
38.65,99.6
38.67,99.6
38.92,99.33
39.07,98.93
39.15,98.73
39.13,98.65
39.22,98.58
39.22,98.55
39.25,98.4
39.27,98.53
39.23,98.5
39.23,98.48
39,98.45
39,98.42
39.2,98.37
39.22,98.23
39.43,98.13
39.3,98.12
39.32,98.1
39.17,98.22
39.17,98.22
39.17,98.25
38.62,98.47
38.78,98.1
38.9,97.88
38.93,97.82
38.93,97.82
38.97,97.75
39.37,97.62
39.33,97.57
39.4,97.53
39.2,97.18
38.45,98.02
38.38,97.95
38.47,97.93
38.52,97.72
38.57,97.77
38.65,97.75
38.58,97.63
38.88,96.97
39.45,96.67
39.42,96.63
39.52,96.43
39.5,96.43
39.5,96.38
39.5,96.43
39.48,96.47
39.4,96.58
39.37,96.63
38.6,97.32
38.6,97.35
38.57,96.47
38.77,95.98
39.1,95.48
39.25,95.25
39.25,95.23
39.28,93.77
39.28,93.73
39.27,93.6
38.22,98.67
35.413,97.584
35.95,95.417
35.603,94.758
35.6,94.783
35.596,94.891
35.615,94.904
35.643,94.963
35.616,94.705
35.655,94.512
35.617,94.44
35.652,94.372
35.639,94.356
35.648,94.313
35.783,93.527
36.226,92.787
36.048,92.427
35.862,90.799
35.99,90.896
36.007,90.977
36.054,91.143
36.214,92.072
36.213,92.131
36.264,91.984
36.53,91.407
36.658,91.02
36.63,91.029
36.602,91.055
36.584,91.103
36.725,90.799
37.694,90.627
37.633,90.787
37.313,91.163
37.327,91.102
37.506,90.407
37.682,88.211
37.661,88.126
37.679,87.924
37.696,87.902
38.352,89.569
39.18,95.3
38.2,96.07
38.23,96.03
38.45,95.82
38.4,95.7
38.35,95.62
38.35,95.58
38.6,97.37
38.55,97.63
38.3,95.62
38.33,95.63
38.37,95.67
38.18,96.1
38.08,96.3
38.316,89.462
38.269,89.243
37.872,87.294
37.911,87.397
37.696,87.828
37.689,87.62
37.657,88.148
37.562,88.188
37.479,88.006
37.527,87.871
37.424,87.841
36.68,87.484
36.573,87.493
36.586,87.43
36.618,87.4
36.526,87.419
